Client,Sale_CL,Predicted_Probability_Sale_CL,Predicted_Sale_CL,Revenue_CL,Sale_CC,Predicted_Probability_Sale_CC,Predicted_Sale_CC,Revenue_CC,Sale_MF,Predicted_Probability_Sale_MF,Predicted_Sale_MF,Revenue_MF,ExpectedRev_MF,ExpectedRev_CC,ExpectedRev_CL,Score,Top_Offer
380,1,1,1,15.82142857,0,0.559263026,1,0,0,0.504463766,1,0,0,0,15.82142857,15.82142857,CL
437,0,1,1,0,0,0.389469516,0,0,1,0.514105951,1,54.33035714,14.35978115,0,0,14.35978115,MF
792,1,0.328079843,0,16.2475,0,0.632219315,1,0,1,0.504463766,1,52.61821429,13.3904774,0,1.748822139,13.3904774,MF
564,0,0.109635408,0,0,1,0.681239743,1,28.705,0,0.382152205,0,0,0,13.3216342,0,13.3216342,CC
408,1,1,1,13.25,1,0.590685377,1,7,0,0.422293063,0,0,0,2.442364499,13.25,13.25,CL
1545,0,0.181865718,0,0,1,0.774003791,1,21.20714286,0,0.267928044,0,0,0,12.70481475,0,12.70481475,CC
754,1,0.999999985,1,9.176785714,1,0.564159782,1,39.27678571,0,0.504463766,1,0,0,12.50086842,9.176785434,12.50086842,CC
629,0,0.473231946,0,0,1,0.499390293,0,49.08071429,0,0.452405449,0,0,0,12.24027196,0,12.24027196,CC
544,1,0.786743482,1,17.78571429,0,0.515650549,1,0,1,0.504853827,1,0.059821429,0.015247129,0,11.0087401,11.0087401,CL
1093,,1,1,10.74303571,,0.548441336,1,4.376964286,,0.504463766,1,3.079821429,0.783764325,1.31653789,10.74303571,10.74303571,CL
314,,1,1,10.74303571,,0.508965972,1,4.376964286,,0.516909576,1,3.079821429,0.822914455,1.133836668,10.74303571,10.74303571,CL
1007,,1,1,10.74303571,,0.497244504,0,,,0.5806434,1,3.079821429,1.038351808,,10.74303571,10.74303571,CL
196,,1,1,10.74303571,,0.571404198,1,4.376964286,,0.331244076,0,,,1.429090907,10.74303571,10.74303571,CL
505,,1,1,10.74303571,,0.605980299,1,4.376964286,,0.28043896,0,,,1.607274347,10.74303571,10.74303571,CL
224,,1,1,10.74303571,,0.528441336,1,4.376964286,,0.544463766,1,3.079821429,0.912984705,1.22226835,10.74303571,10.74303571,CL
265,,1,1,10.74303571,,0.559263026,1,4.376964286,,0.504463766,1,3.079821429,0.783764325,1.369005585,10.74303571,10.74303571,CL
228,,1,1,10.74303571,,0.533629834,1,4.376964286,,0.37411868,0,,,1.246387848,10.74303571,10.74303571,CL
386,,1,1,10.74303571,,0.71399123,1,4.376964286,,0.391049074,0,,,2.231304068,10.74303571,10.74303571,CL
30,,1,1,10.74303571,,0.595981936,1,4.376964286,,0.484434052,0,,,1.5546735,10.74303571,10.74303571,CL
841,,0.999999998,1,10.74303571,,0.576726512,1,4.376964286,,0.36466464,0,,,1.455837277,10.74303566,10.74303566,CL
1569,,0.999998378,1,10.74303571,,0.616629845,1,4.376964286,,0.496965874,0,,,1.664263484,10.74300086,10.74300086,CL
16,,0.999998199,1,10.74303571,,0.642561385,1,4.376964286,,0.390351793,0,,,1.807183485,10.74299702,10.74299702,CL
51,,0.999998099,1,10.74303571,,0.618117899,1,4.376964286,,0.291238204,0,,,1.672305593,10.74299486,10.74299486,CL
233,,0.999993566,1,10.74303571,,0.54223357,1,4.376964286,,0.504463766,1,3.079821429,0.783764325,1.286902977,10.74289746,10.74289746,CL
650,,0.999951325,1,10.74303571,,0.531411879,1,4.376964286,,0.504463766,1,3.079821429,0.783764325,1.236048522,10.74198991,10.74198991,CL
1009,,0.999877969,1,10.74303571,,0.543161157,1,4.376964286,,0.366152319,0,,,1.291309695,10.7404139,10.7404139,CL
715,,0.999855886,1,10.74303571,,0.660178352,1,4.376964286,,0.394824885,0,,,1.90763623,10.7399395,10.7399395,CL
828,,0.996565464,1,10.74303571,,0.345410837,0,,,0.455084008,0,,,,10.66936775,10.66936775,CL
908,0,0.085200831,0,0,1,0.628300967,1,26.99821429,0,0.340041309,0,0,0,10.65787191,0,10.65787191,CC
1507,,0.995746725,1,10.74303571,,0.741227465,1,4.376964286,,0.324926848,0,,,2.404783643,10.65184388,10.65184388,CL
835,,0.994873377,1,10.74303571,,0.631824858,1,4.376964286,,0.504463766,1,3.079821429,0.783764325,1.74729575,10.63316706,10.63316706,CL
388,1,0.219441955,0,7.285714286,1,0.534194114,1,37.23321429,0,0.403568915,0,0,0,10.6249948,0.350841908,10.6249948,CC
766,,0.990587674,1,10.74303571,,0.530796907,1,4.376964286,,0.391791613,0,,,1.233189362,10.54175355,10.54175355,CL
340,,0.989361911,1,10.74303571,,0.661826286,1,4.376964286,,0.466967555,0,,,1.917171779,10.51568074,10.51568074,CL
11,,0.987735422,1,10.74303571,,0.567913326,1,4.376964286,,0.416954131,0,,,1.411682795,10.48113407,10.48113407,CL
700,0,0.993788504,1,0,0,0.537336815,1,0,1,0.504463766,1,40.67785714,10.35185123,0,0,10.35185123,MF
506,,0.97164352,1,10.74303571,,0.654441413,1,4.376964286,,0.394824885,0,,,1.874625628,10.14240472,10.14240472,CL
1091,1,1,1,10.10714286,0,0.537244504,1,0,1,0.583270372,1,4.910714286,1.670646251,0,10.10714286,10.10714286,CL
821,1,0.990970418,1,10.25,0,0.615941876,1,0,0,0.388293308,0,0,0,0,10.06572929,10.06572929,CL
1538,1,1,1,9.964285714,1,0.593184967,1,1.714285714,0,0.452686464,0,0,0,0.60320298,9.964285714,9.964285714,CL
1596,1,1,1,9.821428571,0,0.710324937,1,0,0,0.437599001,0,0,0,0,9.82142857,9.82142857,CL
216,,0.951493598,1,10.74303571,,0.531592507,1,4.376964286,,0.504463766,1,3.079821429,0.783764325,1.236888933,9.726100664,9.726100664,CL
643,1,0.239370006,0,15.29357143,0,0.449416697,0,0,1,0.548880939,1,32.04017857,9.652753718,0,0.876291053,9.652753718,MF
1417,0,0.063540653,0,0,1,0.783101953,1,14.82142857,0,0.352928339,0,0,0,9.089221329,0,9.089221329,CC
1145,,0.893310288,1,10.74303571,,0.531592507,1,4.376964286,,0.504463766,1,3.079821429,0.783764325,1.236888933,8.572977624,8.572977624,CL
1179,1,0.734713881,1,15.78571429,0,0.278608698,0,0,0,0.570430127,1,0,0,0,8.521199398,8.521199398,CL
1537,1,0.190762117,0,3.892857143,0,0.605828434,1,0,1,0.467108067,0,38.43142857,8.385351348,0,0.141661793,8.385351348,MF
181,1,0.804057411,1,12.94357143,0,0.682002022,1,0,0,0.397599001,0,0,0,0,8.368126625,8.368126625,CL
1133,,0.845385979,1,10.74303571,,0.554418281,1,4.376964286,,0.352042914,0,,,1.345389662,7.677805408,7.677805408,CL
1130,1,0.665763024,1,16.92857143,0,0.327977196,0,0,0,0.469409128,0,0,0,0,7.503426832,7.503426832,CL
69,0,0.193809946,0,0,0,0.593807221,1,0,1,0.41474144,0,42.71660714,7.347703341,0,0,7.347703341,MF
1399,1,0.715547664,1,11.17857143,1,0.223676288,0,5.142857143,1,0.498850439,0,27.23375,6.777166624,0.257302707,5.723523134,6.777166624,MF
1263,,0.788583309,1,10.74303571,,0.277454082,0,,,0.38950176,0,,,,6.680703233,6.680703233,CL
864,0,0.293759603,0,0,0,0.567737243,1,0,1,0.464955622,0,30.69732143,6.636261448,0,0,6.636261448,MF
203,1,0.400286069,0,5.714285714,1,0.616734925,1,16.94535714,1,0.450377998,0,0.641607143,0.130143812,6.445369377,0.915593925,6.445369377,CC
1264,0,0.103470644,0,0,0,0.585735676,1,0,1,0.411791613,0,36.82660714,6.244773674,0,0,6.244773674,MF
801,0,0.277428849,0,0,1,0.645120271,1,3.928571429,1,0.345695394,0,51.96553571,6.210157207,1.634993502,0,6.210157207,MF
707,,0.74795445,1,10.74303571,,0.526515124,1,4.376964286,,0.504463766,1,3.079821429,0.783764325,1.213374055,6.010039414,6.010039414,CL
1502,1,0.39097225,0,5.368928571,0,0.488842419,0,0,1,0.419957072,0,34.01660714,5.999302925,0,0.820690663,5.999302925,MF
1332,,0.741705943,1,10.74303571,,0.299206423,0,,,0.400301004,0,,,,5.910041596,5.910041596,CL
239,,0.739964718,1,10.74303571,,0.282968936,0,,,0.507154867,1,3.079821429,0.792148731,,5.882325402,5.882325402,CL
1355,1,1,1,5.857142857,1,0.352699835,0,3.392857143,0,0.516954349,1,0,0,0.42206184,5.857142857,5.857142857,CL
1259,1,0.678676699,1,12.65928571,0,0.281224743,0,0,0,0.348738052,0,0,0,0,5.830893091,5.830893091,CL
1513,1,0.658241623,1,13.31571429,0,0.468624819,0,0,0,0.471026127,0,0,0,0,5.769459775,5.769459775,CL
1484,1,0.476596848,0,8.7225,0,0.306506201,0,0,1,0.473634807,0,25.60910714,5.744889234,0,1.981268384,5.744889234,MF
1117,1,0.553477996,1,18.68464286,0,0.580561864,1,0,0,0.479957072,0,0,0,0,5.723814111,5.723814111,CL
1206,0,0.251714509,0,0,0,0.589072688,1,0,1,0.504463766,1,22.16589286,5.640858233,0,0,5.640858233,MF
417,1,0.394747145,0,36.05071429,0,0.543268803,1,0,0,0.45474144,0,0,0,0,5.617613665,5.617613665,CL
1469,0,0.074222706,0,0,1,0.79542961,1,0.214285714,1,0.49688337,0,22.7425,5.614965959,0.135580342,0,5.614965959,MF
1042,0,0.104262825,0,0,1,0.611113734,1,14.5,1,0.481229372,0,0.916785714,0.212310802,5.415169938,0,5.415169938,CC
1499,1,0.87012693,1,7.107142857,0,0.370578575,0,0,0,0.536346928,1,0,0,0,5.380966219,5.380966219,CL
350,,0.703968956,1,10.74303571,,0.323926907,0,,,0.371551058,0,,,,5.323950822,5.323950822,CL
492,1,0.192445419,0,1.071428571,1,0.630564555,1,13.21428571,0,0.391791613,0,0,0,5.25415405,0.039680613,5.25415405,CC
49,0,0.431239932,0,0,1,0.581950297,1,15.24642857,0,0.504463766,1,0,0,5.163449238,0,5.163449238,CC
349,0,1,1,0,0,0.618298526,1,0,1,0.279549454,0,65.70410714,5.134637801,0,0,5.134637801,MF
103,0,0.330835951,0,0,1,0.646834329,1,12.25642857,0,0.322126,0,0,0,5.128024124,0,5.128024124,CC
575,1,0.209263878,0,8.420714286,1,0.57240245,1,15.29178571,0,0.481015022,0,0,0,5.010270467,0.368754622,5.010270467,CC
1582,1,0.640006017,1,12.17071429,0,0.317964749,0,0,0,0.402149429,0,0,0,0,4.985218306,4.985218306,CL
873,1,0.265490071,0,12.75,1,0.544081586,1,16.52357143,0,0.478081694,0,0,0,4.891386474,0.898683468,4.891386474,CC
1329,1,0.783139659,1,7.964285714,0,0.522018299,1,0,1,0.524853827,1,13.35714286,3.679512705,0,4.884557952,4.884557952,CL
1248,,0.673726912,1,10.74303571,,0.484159782,0,,,0.533340464,1,3.079821429,0.876061521,,4.876349344,4.876349344,CL
200,,0.67207929,1,10.74303571,,0.227073495,0,,,0.56710323,1,3.079821429,0.990489277,,4.852527949,4.852527949,CL
45,1,0.111048802,0,5.556785714,1,0.559302517,1,15.39392857,0,0.257081506,0,0,0,4.815518053,0.068525373,4.815518053,CC
583,,0.669055749,1,10.74303571,,0.542405192,1,4.376964286,,0.50024983,1,3.079821429,0.77072498,1.287717742,4.808965186,4.808965186,CL
1073,,0.665953369,1,10.74303571,,0.343507307,0,,,0.554189202,1,3.079821429,0.945892225,,4.764470687,4.764470687,CL
1,0,0.156128307,0,0,0,0.600878691,1,0,1,0.419957072,0,26.97267857,4.757007916,0,0,4.757007916,MF
174,,0.665162557,1,10.74303571,,0.578664205,1,4.376964286,,0.402293063,0,,,1.465636395,4.753161898,4.753161898,CL
42,0,0.318116903,0,0,0,0.547594012,1,0,1,0.554111822,1,15.27571429,4.690253962,0,0,4.690253962,MF
1132,,0.660446481,1,10.74303571,,0.44283214,0,,,0.581678285,1,3.079821429,1.042056434,,4.685999963,4.685999963,CL
924,0,0.222849687,0,0,1,0.43047789,0,25.04035714,0,0.478081694,0,0,0,4.64025897,0,4.64025897,CC
1524,1,0.38098458,0,31.80142857,0,0.623560961,1,0,0,0.443828028,0,0,0,0,4.615953516,4.615953516,CL
129,1,0.188477819,0,6.138928571,0,0.589623939,1,0,1,0.403568915,0,28.29553571,4.608433608,0,0.218078613,4.608433608,MF
1205,0,0.313853782,0,0,1,0.598483578,1,12.76535714,0,0.386404574,0,0,0,4.572328722,0,4.572328722,CC
836,0,0.147492766,0,0,1,0.642712641,1,11,1,0.322126,0,3.416607143,0.354524786,4.543874922,0,4.543874922,CC
316,1,0.54778358,1,15.01535714,0,0.563423344,1,0,0,0.383790122,0,0,0,0,4.505610933,4.505610933,CL
415,1,0.216374284,0,27.2575,1,0.520254647,1,16.42857143,0,0.515774762,1,0,0,4.446637605,1.276137027,4.446637605,CC
1551,,0.636044223,1,10.74303571,,0.26968301,0,,,0.575063257,1,3.079821429,1.018490017,,4.346119307,4.346119307,CL
662,1,0.558335469,1,13.85714286,0,0.232489077,0,0,0,0.383798562,0,0,0,0,4.319804878,4.319804878,CL
456,,0.629402949,1,10.74303571,,0.336367961,0,,,0.547073137,1,3.079821429,0.921756728,,4.255832884,4.255832884,CL
175,,0.628074049,1,10.74303571,,0.353111409,0,,,0.385198701,0,,,,4.237880615,4.237880615,CL
1298,1,0.406918813,0,25.24321429,0,0.577706836,1,0,0,0.484955622,0,0,0,0,4.17984515,4.17984515,CL
898,0,0.088582891,0,0,1,0.600569172,1,11.53571429,0,0.313352988,0,0,0,4.160739852,0,4.160739852,CC
1322,0,0.259293149,0,0,1,0.532723119,1,14.28571429,0,0.472405449,0,0,0,4.054198874,0,4.054198874,CC
1442,1,0.506355503,1,15.8,0,0.316818685,0,0,1,0.572822417,1,8.280714286,2.717113692,0,4.051055141,4.051055141,CL
900,1,0.401537908,0,24.7975,1,0.539254743,1,7.392857143,0,0.475953961,0,0,0,2.149810905,3.998167675,3.998167675,CL
571,,0.609861215,1,10.74303571,,0.232075505,0,,,0.40332836,0,,,,3.995664811,3.995664811,CL
1001,0,0.308480447,0,0,1,0.626507069,1,10.10571429,0,0.382628762,0,0,0,3.966605114,0,3.966605114,CC
372,1,0.049194695,0,17.21428571,1,0.747329959,1,1.786785714,1,0.401866668,0,24.54589286,3.964083615,0.997923516,0.041660602,3.964083615,MF
455,1,0.142080248,0,10.57142857,1,0.465128095,0,18.29214286,0,0.424517496,0,0,0,3.957398009,0.213403281,3.957398009,CC
287,0,0.142520126,0,0,0,0.540684379,1,0,1,0.461857506,0,18.48678571,3.943459804,0,0,3.943459804,MF
673,1,0.078334939,0,12.50857143,0,0.671928232,1,0,1,0.402800171,0,24.13589286,3.915999801,0,0.076757131,3.915999801,MF
961,1,0.324564947,0,10.56,1,0.549675062,1,12.85892857,0,0.484955622,0,0,0,3.885231053,1.112415792,3.885231053,CC
255,,0.599423588,1,10.74303571,,0.278528856,0,,,0.409544702,0,,,,3.860065531,3.860065531,CL
258,,0.598765067,1,10.74303571,,0.304587186,0,,,0.350131572,0,,,,3.851588927,3.851588927,CL
863,1,0.411364093,0,22.60714286,0,0.553807221,1,0,0,0.481229372,0,0,0,0,3.825590136,3.825590136,CL
41,,0.595561977,1,10.74303571,,0.564834575,1,4.376964286,,0.521015022,1,3.079821429,0.836038017,1.396418357,3.810491041,3.810491041,CL
909,,0.594467481,1,10.74303571,,0.593354471,1,4.376964286,,0.429706923,0,,,1.540995751,3.79649843,3.79649843,CL
282,0,0.062766945,0,0,1,0.715353451,1,7.356785714,0,0.359066347,0,0,0,3.764692068,0,3.764692068,CC
611,1,0.290971775,0,10.38678571,0,0.536068041,1,0,1,0.465633317,0,17.25375,3.740861207,0,0.879392784,3.740861207,MF
166,,0.589853315,1,10.74303571,,0.607437819,1,4.376964286,,0.453932602,0,,,1.615015361,3.737791464,3.737791464,CL
1243,,0.586091044,1,10.74303571,,0.317566833,0,,,0.575028327,1,3.079821429,1.01836629,,3.690261902,3.690261902,CL
868,,0.58566883,1,10.74303571,,0.360862537,0,,,0.44476818,0,,,,3.684946959,3.684946959,CL
1051,,0.585062861,1,10.74303571,,0.178507582,0,,,0.36268349,0,,,,3.677325555,3.677325555,CL
111,,0.584988463,1,10.74303571,,0.244718379,0,,,0.523762976,1,3.079821429,0.84488019,,3.676390387,3.676390387,CL
1154,0,0.373801591,0,0,1,0.541454121,1,12.51892857,0,0.458517251,0,0,0,3.670206407,0,3.670206407,CC
1611,,0.583950795,1,10.74303571,,0.262724292,0,,,0.352513864,0,,,,3.663359394,3.663359394,CL
125,,0.583268849,1,10.74303571,,0.199550927,0,,,0.497410619,0,,,,3.654808143,3.654808143,CL
634,0,0.121760887,0,0,1,0.729356764,1,6.857142857,0,0.4717385,0,0,0,3.647734558,0,3.647734558,CC
100,,0.580323669,1,10.74303571,,0.199550927,0,,,0.477410619,0,,,,3.617991871,3.617991871,CL
741,0,0.212301926,0,0,1,0.632988792,1,8.934285714,0,0.311238204,0,0,0,3.579743235,0,3.579743235,CC
528,,0.57636666,1,10.74303571,,0.344762194,0,,,0.483858121,0,,,,3.568820637,3.568820637,CL
1113,1,0.474314881,0,15.86321429,0,0.586958167,1,0,0,0.45474144,0,0,0,0,3.568820389,3.568820389,CL
1511,,0.575758254,1,10.74303571,,0.21312891,0,,,0.415405204,0,,,,3.561290196,3.561290196,CL
1226,,0.575626962,1,10.74303571,,0.533310816,1,4.376964286,,0.52065824,1,3.079821429,0.834893402,1.244898051,3.559666197,3.559666197,CL
1364,1,0.328888412,0,22.70392857,1,0.499069335,0,14.28571429,0,0.427564992,0,0,0,3.558145725,2.455829177,3.558145725,CC
331,,0.575454312,1,10.74303571,,0.420147845,0,,,0.572065037,1,3.079821429,1.007897453,,3.557531193,3.557531193,CL
171,0,0.224361775,0,0,1,0.628323818,1,9,1,0.441229372,0,6.762142857,1.316476681,3.553117381,0,3.553117381,CC
117,,0.57194023,1,10.74303571,,0.332145999,0,,,0.500750873,1,3.079821429,0.772269648,,3.514214861,3.514214861,CL
1510,,0.57103738,1,10.74303571,,0.183999662,0,,,0.348543991,0,,,,3.503128725,3.503128725,CL
477,1,0.049856967,0,4.214285714,0,0.73459034,1,0,1,0.39382319,0,22.09821429,3.427360225,0,0.010475522,3.427360225,MF
179,1,0.490506485,0,14.13857143,0,0.623560961,1,0,0,0.388446323,0,0,0,0,3.401692387,3.401692387,CL
3,,0.56248451,1,10.74303571,,0.507355308,1,4.376964286,,0.516241068,1,3.079821429,0.820787318,1.12667179,3.39897644,3.39897644,CL
793,0,0.092842498,0,0,1,0.700363761,1,6.892857143,0,0.33670415,0,0,0,3.381011206,0,3.381011206,CC
1087,0,0.698091087,1,0,1,0.341098132,0,4.357142857,1,0.619630504,1,8.805892857,3.380951775,0.506944576,0,3.380951775,MF
1210,,0.557116848,1,10.74303571,,0.618557261,1,4.376964286,,0.421541509,0,,,1.674683807,3.334414634,3.334414634,CL
1110,,0.555424998,1,10.74303571,,0.561318157,1,4.376964286,,0.47745356,0,,,1.379085472,3.314193521,3.314193521,CL
496,,0.554858578,1,10.74303571,,0.398812773,0,,,0.516346928,1,3.079821429,0.821123971,,3.307437365,3.307437365,CL
914,1,0.510654056,1,12.42571429,1,0.340751051,0,17.31,0,0.477465883,0,0,0,2.009886239,3.240223255,3.240223255,CL
1098,,0.548262322,1,10.74303571,,0.46734287,0,,,0.459957072,0,,,,3.229266014,3.229266014,CL
73,1,0.419076905,0,18.35392857,1,0.652431776,1,1.785714286,0,0.434801248,0,0,0,0.760120041,3.223417,3.223417,CL
728,,0.54741914,1,10.74303571,,0.590076434,1,4.376964286,,0.428731433,0,,,1.52401606,3.219340967,3.219340967,CL
1104,1,0.71481922,1,6.25,0,0.332529221,0,0,1,0.540122739,1,0.699642857,0.204108611,0,3.193540734,3.193540734,CL
99,,0.54409836,1,10.74303571,,0.519296259,1,4.376964286,,0.548194081,1,3.079821429,0.925537927,1.180329853,3.18040079,3.18040079,CL
720,1,0.559213355,1,10.1575,0,0.269651176,0,0,0,0.425003699,0,0,0,0,3.176449102,3.176449102,CL
1413,0,0.031424504,0,0,1,0.673157079,1,6.964285714,1,0.286152319,0,1.676607143,0.137285873,3.155799582,0,3.155799582,CC
1586,,0.541358867,1,10.74303571,,0.233575459,0,,,0.395575864,0,,,,3.148455277,3.148455277,CL
1445,,0.024614546,0,,,0.845501189,1,4.376964286,,0.276150742,0,,,3.128970357,,3.128970357,CC
603,,0.031623285,0,,,0.842711274,1,4.376964286,,0.292374931,0,,,3.108354983,,3.108354983,CC
1488,1,0.71533795,1,6.071428571,0,0.31192193,0,0,0,0.576598228,1,0,0,0,3.106800892,3.106800892,CL
639,1,0.236006846,0,11.57142857,1,0.517361733,1,1.321428571,1,0.520101232,1,11.37642857,3.07738413,0.35369775,0.644519679,3.07738413,MF
300,1,0.505521629,1,12.03571429,0,0.29961717,0,0,0,0.328704391,0,0,0,0,3.075752273,3.075752273,CL
524,,0.533565797,1,10.74303571,,0.512746997,1,4.376964286,,0.626554328,1,3.079821429,1.209046503,1.150745418,3.05846126,3.05846126,CL
248,0,0.193039523,0,0,1,0.536034924,1,10.60821429,0,0.506931822,1,0,0,3.048094697,0,3.048094697,CC
510,0,0.043914643,0,0,0,0.798217469,1,0,1,0.292374931,0,35.51571429,3.035993357,0,0,3.035993357,MF
267,,0.531578393,1,10.74303571,,0.290290301,0,,,0.622850398,1,3.079821429,1.19479399,,3.035719632,3.035719632,CL
982,0,0.15757415,0,0,1,0.668434714,1,6.785714286,0,0.330771568,0,0,0,3.031890845,0,3.031890845,CC
601,0,0.022711519,0,0,1,0.662314407,1,6.8625,0,0.416325878,0,0,0,3.010306818,0,3.010306818,CC
252,0,0.059107878,0,0,1,0.730487065,1,5.638571429,0,0.263235728,0,0,0,3.008805728,0,3.008805728,CC
147,1,0.436220807,0,15.61321429,0,0.522816053,1,0,0,0.393482734,0,0,0,0,2.971016572,2.971016572,CL
127,1,0.332102939,0,14.07142857,1,0.60083892,1,0.071428571,1,0.391791613,0,19.35464286,2.970950609,0.025786243,1.5519711,2.970950609,MF
640,,0.028693206,0,,,0.820604434,1,4.376964286,,0.276150742,0,,,2.947411148,,2.947411148,CC
1383,0,0.085850421,0,0,1,0.734897834,1,4.642857143,1,0.518823486,1,10.90982143,2.936681831,2.507490263,0,2.936681831,MF
641,,0.52188457,1,10.74303571,,0.405361151,0,,,0.481743337,0,,,,2.926010854,2.926010854,CL
1151,1,0.236119992,0,21.27107143,1,0.561904015,1,9.25,0,0.481229372,0,0,0,2.920559132,1.18591861,2.920559132,CC
827,1,0.286491727,0,12.24214286,1,0.604143817,1,7.928571429,0,0.383790122,0,0,0,2.893847316,1.004804599,2.893847316,CC
733,,0.113469871,0,,,0.812685411,1,4.376964286,,0.292374931,0,,,2.89079923,,2.89079923,CC
1242,,0.518417593,1,10.74303571,,0.526915055,1,4.376964286,,0.488209863,0,,,1.215218065,2.887263911,2.887263911,CL
1030,1,0.032568621,0,8.428571429,1,0.607533095,1,7.821428571,0,0.436965874,0,0,0,2.886861612,0.008940313,2.886861612,CC
546,0,0.145753476,0,0,1,0.568121946,1,8.928214286,0,0.489016512,0,0,0,2.881693165,0,2.881693165,CC
416,0,0.781113583,1,0,0,0.556309913,1,0,1,0.525240701,1,10.36303571,2.858931433,0,0,2.858931433,MF
120,1,0.625644811,1,7.297857143,0,0.579114099,1,0,0,0.439521514,0,0,0,0,2.856610656,2.856610656,CL
730,1,0.184754769,0,2.428571429,1,0.615305117,1,7.535714286,0,0.462870931,0,0,0,2.853024347,0.082897646,2.853024347,CC
803,,0.512726937,1,10.74303571,,0.315030863,0,,,0.550921983,1,3.079821429,0.934772097,,2.82422497,2.82422497,CL
940,,0.509812216,1,10.74303571,,0.340717017,0,,,0.515535241,1,3.079821429,0.818544422,,2.79220625,2.79220625,CL
543,,0.509109141,1,10.74303571,,0.287121481,0,,,0.443335337,0,,,,2.784510173,2.784510173,CL
450,1,0.426689027,0,15.18428571,1,0.511370758,1,5.179642857,0,0.475281272,0,0,0,1.354476876,2.764504594,2.764504594,CL
373,,0.507147926,1,10.74303571,,0.461579241,0,,,0.373913254,0,,,,2.763098245,2.763098245,CL
1591,1,0.386008984,0,18.53571429,0,0.540094013,1,0,0,0.391791613,0,0,0,0,2.76187584,2.76187584,CL
1522,0,0.071172715,0,0,1,0.495685752,0,11.17678571,0,0.384276941,0,0,0,2.746185032,0,2.746185032,CC
756,,0.505495089,1,10.74303571,,0.391204519,0,,,0.548209863,1,3.079821429,0.925591219,,2.745117266,2.745117266,CL
704,0,0.172012603,0,0,1,0.62083892,1,7.1075,0,0.391791613,0,0,0,2.73952166,0,2.73952166,CC
10,,0.104376533,0,,,0.791024753,1,4.376964286,,0.267928044,0,,,2.73875479,,2.73875479,CC
1410,,0.013832842,0,,,0.790397945,1,4.376964286,,0.276150742,0,,,2.734416131,,2.734416131,CC
695,,0.501567535,1,10.74303571,,0.337838583,0,,,0.471298816,0,,,,2.702625413,2.702625413,CL
1169,1,0.241159202,0,46.39285714,1,0.484834575,0,5.170357143,1,0.535774762,1,2.461964286,0.706718163,1.215367754,2.698104692,2.698104692,CL
855,1,0.390478409,0,17.64285714,0,0.480265315,0,0,0,0.532465257,1,0,0,0,2.690066205,2.690066205,CL
1041,1,0.390157307,0,17.56321429,1,0.505990937,1,3.392857143,0,0.483732883,0,0,0,0.868662452,2.673520331,2.673520331,CL
382,,0.050566447,0,,,0.781443704,1,4.376964286,,0.300376421,0,,,2.672811898,,2.672811898,CC
540,,0.039935422,0,,,0.781443704,1,4.376964286,,0.300376421,0,,,2.672811898,,2.672811898,CC
468,,0.143122072,0,,,0.780814486,1,4.376964286,,0.472462689,0,,,2.668509337,,2.668509337,CC
404,1,0.356434696,0,21,0,0.612334574,1,0,0,0.425931111,0,0,0,0,2.667959537,2.667959537,CL
